09/01/2020 13:08:11
351.631860856013 285.041141246111 13:08:11
339.595316374639 284.020062324018 13:08:11
333.26875868687 283.670615199449 13:08:11
328.084166779947 287.117680975011 13:08:11
326.257296266788 288.939527313022 13:08:11
326.713721790027 292.073347993822 13:08:11
324.092114104093 293.346694141057 13:08:11
323.708207877647 292.391491572025 13:08:11
324.697242678751 291.178335650732 13:08:11
325.696803378237 290.335707566095 13:08:11
326.956834236501 291.438989183397 13:08:11
326.225375798642 292.11523326681 13:08:11
326.50334219761 294.308700866469 13:08:11
327.187809469817 296.30111485712 13:08:11
327.209713810668 295.964610680188 13:08:11
328.36158701836 294.955824857799 13:08:11
328.898287538661 295.956123955679 13:08:11
331.359624469854 298.533228440056 13:08:11
333.232015613675 298.277450316637 13:08:11
334.57880596769 295.577413658012 13:08:11
335.792358567318 295.987770131033 13:08:11
339.552731884521 297.573992688421 13:08:11
339.555411519273 297.923773416072 13:08:11
338.999762602913 298.370548274214 13:08:11
338.858533867395 298.289738289321 13:08:11
339.678735538701 297.875598324955 13:08:11
339.273075766224 297.519897335912 13:08:11
338.100862164402 298.793975493433 13:08:11
332.770736295103 309.948715482386 13:08:11
322.731010545294 345.061886731271 13:08:11
321.466024768409 349.996185508823 13:08:11
320.529338906228 355.415760179596 13:08:11
319.676052827396 359.244806105606 13:08:11
313.001537371783 389.11169971931 13:08:11
312.611179961505 388.479397021303 13:08:11
311.351137045115 386.924257494263 13:08:11
311.226261644961 385.814701673315 13:08:11
311.322969625921 385.219714658235 13:08:11
310.42015473255 384.958153814428 13:08:11
307.822063150641 383.575508350579 13:08:12
307.931401063228 381.62832727733 13:08:12
308.343454029828 381.770384349705 13:08:12
306.750690424749 384.807744077141 13:08:12
306.738803315749 383.73019598695 13:08:12
306.626313888828 382.375909678283 13:08:12
306.343703572887 378.481437913621 13:08:12
315.357508293672 378.464789600938 13:08:12
348.885839686014 377.936129379371 13:08:12
930.331182337274 358.594919543561 13:08:12
978.182706458979 359.273783633518 13:08:12
990.423142041089 359.201731136682 13:08:12
1005.25471264172 355.561701776513 13:08:12
1039.84809848188 351.685602773304 13:08:12
1039.6862350995 335.794527708934 13:08:12
1035.95454559067 330.932919068539 13:08:12
1025.80700260087 324.027540015774 13:08:12
1025.32159404014 323.385100366725 13:08:12
1028.84563822435 326.14475659444 13:08:12
1025.94975028246 323.152177073851 13:08:12
1025.3930577483 323.390499639691 13:08:12
1026.80081119282 322.540832857045 13:08:12
1026.78759432331 321.335348226155 13:08:12
1027.03516171639 315.938392349706 13:08:12
1025.03229131657 314.40419846364 13:08:12
1025.5340353996 312.03467638253 13:08:12
1025.33712753634 311.747935067814 13:08:12
1024.14084443933 312.128420516006 13:08:12
1022.58893347218 311.100462895406 13:08:12
1020.65095246205 309.895659094444 13:08:12
1019.8918585479 309.734004368252 13:08:12
1019.92678335835 310.172099270834 13:08:12
1019.93197388202 311.065034446691 13:08:12
1019.95367132788 311.126651692454 13:08:12
1019.39944341691 310.36403034451 13:08:12
1023.9661345682 311.527670169757 13:08:12
1025.55586802438 311.237740612939 13:08:12
1026.46735247814 311.067729867481 13:08:12
1026.78950252063 311.006230918976 13:08:12
1026.89320872718 311.263494085791 13:08:12
1025.94259157495 310.489057450542 13:08:12
1023.62059368148 307.833808041139 13:08:12
1023.60147023726 307.586319584341 13:08:12
1022.87325744845 307.156515942354 13:08:12
1018.58305311969 312.993482044089 13:08:12
1019.61712341097 309.919196189327 13:08:12
1090.04830243919 512.29883259696 13:08:12
1187.57705595579 814.101166624595 13:08:12
1214.65361296884 899.543603403477 13:08:12
1227.35999415617 939.980220426972 13:08:12
1238.06210951716 977.816960554231 13:08:12
1252.66963457044 1024.2803843257 13:08:12
1254.5025652904 1027.80131453356 13:08:12
1253.29806457971 1029.25667558567 13:08:12
1253.58892472745 1029.41699420199 13:08:12
1255.44078172845 1032.36073757412 13:08:12
1257.50183888244 1034.47904286755 13:08:12
1258.42050947497 1036.16442978629 13:08:12
1289.12397494341 1031.95133445846 13:08:12
1496.42003423924 1036.63726208832 13:08:12
1504.32056720616 1036.38299261378 13:08:13
1512.66520881047 1035.82067240009 13:08:13
1520.8425828957 1035.80603100431 13:08:13
1561.50114371521 1037.56300695373 13:08:13
1563.1943165436 1038.91041373944 13:08:13
1565.33140101092 1039.25066008019 13:08:13
1565.61189165431 1040.08636869452 13:08:13
1565.7045622091 1041.0763018185 13:08:13
1566.42424014824 1042.42500279684 13:08:13
1567.38655597704 1040.87046097465 13:08:13
1567.53280334797 1040.21656982215 13:08:13
1566.49200388381 1040.22682372898 13:08:13
1577.20071334818 1041.96709044023 13:08:13
1606.3399726835 1045.04185478913 13:08:13
1627.12465819362 1044.59865267736 13:08:13
1645.2011001778 1044.93741053687 13:08:13
1657.23827948334 1045.55240760631 13:08:13
1687.95169316313 1043.30382200217 13:08:13
1691.86669618403 1037.22853838033 13:08:13
1693.75041527211 1039.09100214567 13:08:13
1695.93054123776 1039.61600907712 13:08:13
1696.37462937009 1039.43941242025 13:08:13
1696.21157480661 1038.25606559701 13:08:13
1697.14642085726 1038.19184991062 13:08:13
1698.1810937649 1040.96110547939 13:08:13
1699.81902391207 1040.14300159104 13:08:13
1699.24172282915 1039.54564057614 13:08:13
1699.42289414325 1040.15249604414 13:08:13
1698.67454143837 1042.34745525392 13:08:13
1698.09203824228 1041.29057686754 13:08:13
1697.49173636594 1039.6907018793 13:08:13
1697.58770266179 1040.45388764161 13:08:13
1697.76358467874 1039.92851471676 13:08:13
1700.97322329768 1035.0902046994 13:08:13
1701.39691396823 1035.03716821796 13:08:13
1701.74678582477 1034.52644829612 13:08:13
1699.86493311913 1034.81619348156 13:08:13
1697.53747136642 1037.7231401187 13:08:13
1698.02482601616 1039.34695172038 13:08:13
1697.79572364479 1040.43597545603 13:08:13
1700.06770668578 1041.95769232876 13:08:13
1700.97688981757 1042.58060503554 13:08:13
1700.94313806932 1043.23457410975 13:08:13
1701.49038905731 1043.29847703849 13:08:13
1702.17609131869 1042.8732686617 13:08:13
1701.97410256639 1042.98349137141 13:08:13
1701.27469291591 1042.95024543388 13:08:13
1700.57937622216 1042.50615005704 13:08:13
1701.25862790287 1039.76486143931 13:08:13
1702.33198393425 1037.44702847273 13:08:13
