20/01/2020 13:16:20
1010.96372883019 458.77626509211 13:16:20
1010.32527612643 458.830878762406 13:16:20
1008.53263760484 460.500131995131 13:16:20
1007.31525655718 462.562113862359 13:16:20
1007.84972320294 461.771843409432 13:16:20
1007.6276109492 461.580610432883 13:16:20
1007.20053534959 461.542594220077 13:16:20
1007.12888036748 461.568322182931 13:16:20
1006.96303972821 461.575158803997 13:16:20
1006.03281954453 462.878962737642 13:16:20
1006.32438905091 461.441806905308 13:16:20
1006.47260224132 461.242420978654 13:16:20
1005.82245446495 462.507462091249 13:16:21
1006.48398195022 462.45766245412 13:16:21
1007.99591963949 464.122820903141 13:16:21
1007.52511830598 464.6582930081 13:16:21
1008.01137852865 464.558547218708 13:16:21
1008.29829637392 464.445260986745 13:16:21
1008.05597092576 464.741764712521 13:16:21
1007.70178821909 465.064785141221 13:16:21
1007.59122403493 465.247908268804 13:16:21
1008.11275841509 463.954472958205 13:16:21
1008.75117094024 463.623544185611 13:16:21
1009.22091523253 463.472339195778 13:16:21
1009.3406749711 463.095431788391 13:16:21
1009.01007903558 462.890489099381 13:16:21
1007.7685746497 463.096817088561 13:16:21
1007.34903084329 463.089039619842 13:16:21
1007.56024146139 463.019384404928 13:16:21
1007.0310817163 463.139421766699 13:16:21
1007.17097394628 463.149099579831 13:16:21
1004.19009779246 462.562117501759 13:16:21
932.563492100668 446.107641663691 13:16:21
302.866355063316 294.835313139794 13:16:21
280.233262173792 288.858298937736 13:16:21
264.218777084418 284.796796504694 13:16:21
254.881941387708 282.520484967478 13:16:21
238.70697461173 278.966211590856 13:16:21
237.961165525098 278.963716465819 13:16:21
238.14894179853 278.958597752516 13:16:21
222.995850820882 274.661031977662 13:16:21
225.172714750098 278.849189762884 13:16:21
224.977023808304 279.210482146644 13:16:21
223.724205704766 282.078557427526 13:16:21
222.07094888258 278.572752989977 13:16:21
221.941526678 278.094255915185 13:16:21
221.721636867431 278.188753146328 13:16:21
221.979649888696 277.388236595108 13:16:21
221.717409049246 276.368926145327 13:16:21
221.562171385661 276.440159281605 13:16:21
220.048029119539 276.926554677077 13:16:21
220.001621467148 276.680271383149 13:16:21
219.36658931387 275.749567730454 13:16:21
219.419576914684 276.174329407958 13:16:21
219.380519983322 276.261096974526 13:16:21
219.850777303535 276.420359281586 13:16:21
219.976329030011 276.598538708511 13:16:21
221.379521319328 278.195813439871 13:16:21
221.427975380433 278.528010213694 13:16:21
222.879575469743 281.23149208299 13:16:21
223.134392961617 281.607296924404 13:16:21
223.22180990254 281.120937029271 13:16:21
223.604819762446 281.577877106827 13:16:21
222.742106655767 278.689659148903 13:16:21
219.895853980856 272.940569058195 13:16:21
219.543991884388 273.777852857759 13:16:21
219.224290039711 273.196613453653 13:16:21
218.730115036018 270.525707315374 13:16:21
221.908551700455 271.70047625749 13:16:21
222.621431134542 271.702055917999 13:16:21
224.479745713859 271.543053201796 13:16:21
225.226592798545 271.180678342008 13:16:21
225.510979139339 271.237401242841 13:16:21
225.506419603424 270.916963536054 13:16:21
225.841667362055 270.887115009338 13:16:21
226.069083526115 270.560049440867 13:16:21
225.149653149357 269.560639633524 13:16:21
224.66240972125 269.278600338687 13:16:21
223.904706914984 268.68814748432 13:16:21
223.68752885729 268.191619631758 13:16:21
223.430824863083 267.901379801854 13:16:21
224.042566193635 267.891396402194 13:16:21
241.011865453694 269.480551900086 13:16:21
251.697124567761 271.092830918267 13:16:21
279.014978961599 277.237111125408 13:16:21
298.817216351173 281.933459574601 13:16:21
322.113021573072 287.91625610004 13:16:21
336.966940849725 291.577973424744 13:16:21
355.342746620704 295.972592723235 13:16:21
401.790557244204 307.238471128446 13:16:21
419.197383120827 311.873967777995 13:16:21
418.468846957238 311.733072017431 13:16:21
417.750520554315 311.367635285867 13:16:21
418.836180249773 310.294685948425 13:16:21
419.758672201422 309.861229342366 13:16:21
419.194651002891 308.922581635697 13:16:21
418.265824285949 308.85720950791 13:16:21
418.005083789347 308.907218350516 13:16:21
418.041147656776 309.437753676705 13:16:21
