09/01/2020 12:05:48
311.533064322007 200.897599629336 12:05:48
310.89560372233 200.007624646663 12:05:48
309.40038574747 198.959729060725 12:05:48
309.391118141732 200.29322286504 12:05:48
200.171056991575 211.163010566667 12:05:48
199.265456587568 211.35107582658 12:05:48
196.546722524841 211.425439085158 12:05:48
190.425674083412 210.29016763478 12:05:48
183.01010190021 210.052253678291 12:05:48
185.391234496373 214.942544631578 12:05:48
185.387888811625 211.051850218904 12:05:48
185.514380010938 211.405201216172 12:05:48
187.123537905907 215.10005226181 12:05:48
189.768416953526 215.427786246938 12:05:48
189.931790390617 216.448193696334 12:05:48
190.635125702999 217.082689546653 12:05:48
195.914244319674 218.79225171986 12:05:48
197.497726096881 220.942004699524 12:05:48
198.379200114939 221.376685596439 12:05:48
200.938971254286 219.24229476611 12:05:48
200.732306357308 221.977389952138 12:05:48
200.769878576589 223.149745269039 12:05:48
201.250619579525 224.116538014631 12:05:48
205.922757170526 225.20532507921 12:05:48
207.621847769197 212.573942968183 12:05:48
291.287386005412 231.089377463486 12:05:48
347.480350909578 241.834997406646 12:05:48
388.237428953519 251.414335620314 12:05:48
421.125828806211 259.75601622943 12:05:48
469.357736047519 277.905711433319 12:05:48
466.311028952677 282.157042247665 12:05:48
464.593922946471 286.542647284201 12:05:48
464.52176355714 283.799594157654 12:05:48
467.666976297295 270.015094780129 12:05:48
467.391787354815 269.345181566758 12:05:48
466.616148340019 268.373286129376 12:05:48
468.716452408453 262.946057301423 12:05:48
470.771472921033 266.050616991179 12:05:48
475.77043236881 273.209757507969 12:05:48
476.957282226659 274.030494465454 12:05:48
475.549076999209 274.166309868071 12:05:48
474.997011253884 275.030095387419 12:05:48
470.614753159145 285.107370524055 12:05:48
451.793225492008 324.852061450945 12:05:48
440.284386057804 359.159327783711 12:05:48
428.441990214095 401.408271789197 12:05:48
420.273291601326 436.486108122128 12:05:48
413.522512393412 462.061352504528 12:05:49
385.73852342223 562.611621643544 12:05:49
387.077851998716 563.264640885435 12:05:49
387.338721846811 561.895418685089 12:05:49
387.233157199395 562.36111078745 12:05:49
388.458460822979 561.968157420534 12:05:49
389.816604394107 559.612518670878 12:05:49
390.075880735574 555.633247207075 12:05:49
392.499303396393 551.388466627091 12:05:49
394.574511250983 553.003119719735 12:05:49
398.111722682966 552.682061859847 12:05:49
400.493068561358 550.917261525852 12:05:49
400.539133275383 552.323546378912 12:05:49
398.209339876073 555.288876369223 12:05:49
397.080441015663 554.273969796322 12:05:49
394.361845459372 556.507329763938 12:05:49
382.547716356658 560.017532420653 12:05:49
362.901332211429 561.102609936066 12:05:49
348.939650069875 562.318006972857 12:05:49
330.104143206087 566.081141710805 12:05:49
302.886897705432 565.428874657567 12:05:49
278.271378425452 563.082363062249 12:05:49
283.180041877495 563.869236774789 12:05:49
281.38112194841 562.130495472648 12:05:49
279.732054218461 559.914072362436 12:05:49
279.671206435655 558.771900515459 12:05:49
279.258448062292 560.812660413456 12:05:49
278.742313356289 563.517689170596 12:05:49
277.423781759857 564.120930879503 12:05:49
591.172792459184 458.890008819569 12:05:49
719.553358804727 416.162099342857 12:05:49
779.860223092438 396.917250564227 12:05:49
818.364061318757 387.565034615668 12:05:49
848.396349378767 381.808386908158 12:05:49
844.872043082759 382.547870988197 12:05:49
841.729933157221 387.541341324295 12:05:49
829.876328765131 390.983028307188 12:05:49
832.36355773929 391.77095793116 12:05:49
834.139064055587 386.688407389975 12:05:49
833.371338667371 386.707495415085 12:05:49
828.899217626938 387.963536719199 12:05:49
828.603671635669 387.370853612141 12:05:49
828.591409040758 388.294415598214 12:05:49
829.986161488461 391.153895518476 12:05:49
830.646251324446 390.728043379836 12:05:49
831.589849919173 390.812693344087 12:05:49
831.974970778318 388.634489159135 12:05:49
829.606469703317 387.472119636622 12:05:49
829.86215997963 388.217663418911 12:05:49
833.553825020259 396.544770268064 12:05:49
832.614341430369 397.298193769767 12:05:49
827.316280825986 399.998836681545 12:05:49
808.417042806725 397.814626471045 12:05:49
771.2649613304 391.87535552334 12:05:49
724.883282502857 382.286519749033 12:05:49
709.044849230891 379.227521560719 12:05:49
693.311046226117 377.451048246431 12:05:49
694.255687630535 376.927807721873 12:05:49
694.509276463556 377.119675559997 12:05:49
694.760230742421 375.820933248198 12:05:49
695.20178737912 373.873377141077 12:05:50
693.943842006957 374.167160131303 12:05:50
693.571038784498 372.011904094189 12:05:50
692.104735435712 372.423615681456 12:05:50
690.762095593724 373.359173844906 12:05:50
688.351351932599 373.581876273246 12:05:50
698.094050217471 375.31546992103 12:05:50
700.339819197716 378.565086516834 12:05:50
646.141087243565 385.173359372473 12:05:50
635.503879621428 387.908549527533 12:05:50
628.337695960782 388.493633057228 12:05:50
602.017338522284 390.59276857658 12:05:50
600.018804294653 390.004658993119 12:05:50
600.612753015859 390.058790023272 12:05:50
608.34173574109 390.4041910344 12:05:50
610.956468609462 390.124515019122 12:05:50
613.239746846052 390.71456916059 12:05:50
613.394833999759 389.612958638983 12:05:50
606.061729126647 380.595107927684 12:05:50
608.144391949122 381.572954192854 12:05:50
607.819726984041 378.581074019313 12:05:50
609.240896396722 380.64135073289 12:05:50
605.6314434757 378.541497376125 12:05:50
574.958075404703 381.366646363019 12:05:50
