09/01/2020 11:30:01
1121.45312996798 1238.26393517791 11:30:02
1139.55620344295 1224.87186884827 11:30:02
1142.42984324916 1202.22971088207 11:30:02
1144.4459918721 1195.22021745302 11:30:02
1147.74309558966 1229.61908866812 11:30:02
1149.38166654655 1277.78821647507 11:30:02
1123.1780672936 1287.88612812317 11:30:02
802.948657334736 1416.78588693739 11:30:02
800.633085012991 1421.83582558126 11:30:02
834.288714872602 1564.67115747842 11:30:02
855.00658380492 1452.84045714336 11:30:02
845.056564318755 1507.79913638925 11:30:02
843.047313792066 1486.06031542343 11:30:02
845.747536624206 1435.83991503497 11:30:02
849.69802608039 1361.0553100186 11:30:02
848.403968233574 1374.77525856504 11:30:02
849.375281718969 1374.49712732945 11:30:02
857.753704050926 1363.02178785511 11:30:02
857.37342374695 1355.63922406237 11:30:02
859.705310582615 1337.81057315421 11:30:02
860.894010039213 1330.83919579802 11:30:02
863.800490213258 1313.10815677906 11:30:02
846.90618165646 1299.82944370715 11:30:02
794.307261217427 1275.11244885972 11:30:02
780.201320091664 1253.52738314537 11:30:02
722.651424496141 1189.23763046125 11:30:02
271.666089760814 873.279580264047 11:30:02
225.901167745815 839.230633666836 11:30:02
216.216991858179 770.51764817336 11:30:02
206.71430760426 765.61694610783 11:30:02
207.747460308323 770.503356562157 11:30:02
167.514634243277 761.533315560342 11:30:02
207.359874636628 726.529618858898 11:30:02
235.734695836637 703.59461211523 11:30:02
242.447639186862 696.252529806816 11:30:02
271.137786837732 669.407374413985 11:30:02
249.862106678489 686.753042496759 11:30:02
228.369452617206 677.919017475934 11:30:02
241.463555257458 650.001753808858 11:30:02
244.247037777838 608.986723812474 11:30:02
244.618466473733 585.609400673951 11:30:02
254.951145489839 578.583390930556 11:30:02
243.224998235656 580.071789896868 11:30:03
283.694824184815 577.816823571224 11:30:03
281.509611593719 579.005866407324 11:30:03
281.097252965681 579.216212809413 11:30:03
279.327324120423 581.703009301798 11:30:03
279.557960209473 581.213447529624 11:30:03
280.244652870684 581.1591034308 11:30:03
278.106219663231 580.911479261387 11:30:03
277.836169076058 581.371871571666 11:30:03
277.531205626408 582.007520544288 11:30:03
277.168742604555 581.531416508593 11:30:03
277.836979254165 581.562016371513 11:30:03
275.77888994269 583.293683152964 11:30:03
275.603928152533 582.828051256263 11:30:03
276.203504481906 580.264372576085 11:30:03
277.105793920261 578.578630533385 11:30:03
276.722933174389 578.640229203661 11:30:03
278.759964689746 583.245519063481 11:30:03
283.730733538348 594.952108615046 11:30:03
286.19722499337 599.886047641767 11:30:03
291.355711006035 602.855323223502 11:30:03
292.298694353362 603.844978418628 11:30:03
304.724409972814 617.953862869908 11:30:03
239.70654054183 689.594858623657 11:30:03
188.318491324716 750.040710266521 11:30:03
180.692052451129 760.705958272363 11:30:03
200.970552627277 764.132377941967 11:30:03
224.173385265261 834.576066241257 11:30:03
265.361427484556 825.968589382385 11:30:03
262.893938921553 821.242529208358 11:30:03
259.867123633345 816.423424026669 11:30:03
257.745147541065 815.802016070477 11:30:03
240.629818366572 813.880117293593 11:30:03
240.638669798159 813.562246204416 11:30:03
239.126086041852 811.112442385063 11:30:03
230.348468838094 806.430007690378 11:30:03
226.396966029533 805.148238252713 11:30:03
224.581252737625 803.784199203664 11:30:03
223.430777933811 802.748189297086 11:30:03
214.352992976028 791.095447746726 11:30:03
212.070512765593 789.922044505225 11:30:03
210.495928652475 791.514715983886 11:30:03
210.435105574612 789.644944734238 11:30:03
192.54436849219 794.593150452478 11:30:03
326.042538030233 885.191642256975 11:30:03
1248.43806067178 1199.21337195545 11:30:04
1222.88863071176 1178.89657021998 11:30:04
1286.65424149823 1314.10453224094 11:30:04
1280.23444123799 1297.92068836817 11:30:04
1342.69286396173 1280.73693913682 11:30:04
1336.61804622272 1282.83990791174 11:30:04
1321.94835842882 1258.94621474926 11:30:04
1307.73030271367 1245.57821859714 11:30:04
1322.4865466513 1224.20048897697 11:30:04
1336.82563737863 1202.1970839739 11:30:04
1374.82988539637 1201.07759441197 11:30:04
1406.04654887122 1199.61221355128 11:30:04
1434.76513275299 1200.66581090672 11:30:04
1440.06994341398 1201.42229394098 11:30:04
1459.80238272495 1195.06267089257 11:30:04
1470.08236577501 1194.04272307143 11:30:04
1459.8877358789 1198.16670991506 11:30:04
1466.25283803854 1188.30766454047 11:30:04
1459.99755838967 1185.96863198668 11:30:04
1459.01177568648 1186.71319767802 11:30:04
1458.3396824808 1185.73904299027 11:30:04
1457.90115904733 1181.05754710643 11:30:04
1459.53264659282 1182.7906662233 11:30:04
1460.35429669597 1177.55539873176 11:30:04
1458.37556594827 1177.03291084975 11:30:04
1456.14383455079 1176.71381724335 11:30:04
1449.23933806803 1179.63668235645 11:30:04
1448.7273496589 1182.06573906062 11:30:04
1449.14556630405 1181.81720602876 11:30:04
1070.48395323851 913.875503339114 11:30:04
921.89608658961 819.450295680148 11:30:04
886.18461736849 795.575437880647 11:30:04
853.177993019134 775.654655634506 11:30:04
822.77398375744 756.977794803765 11:30:04
816.151778891545 758.357380327279 11:30:04
815.441536257471 760.240080821683 11:30:04
817.909716466635 762.595589247579 11:30:04
817.217985049485 763.229291150957 11:30:04
827.546507570183 778.629860760001 11:30:04
872.407148862309 815.564078451241 11:30:04
882.240787629378 824.350621285484 11:30:04
891.064041952945 832.426076707155 11:30:04
903.605769561635 842.51840820631 11:30:04
938.445007953746 868.710226780577 11:30:04
938.014376921856 862.36639301937 11:30:04
935.243986510975 860.633686555271 11:30:04
935.067403181486 859.692803216949 11:30:04
935.478152114159 858.927254712939 11:30:04
935.556613111599 856.249414170366 11:30:04
934.153263403166 852.539718574273 11:30:04
934.045503602971 849.800407647478 11:30:04
934.603873368894 849.740657129366 11:30:04
934.585714095347 849.497876191046 11:30:04
934.629848213668 849.221930668945 11:30:04
932.725765999284 847.295530885864 11:30:05
929.21032835609 837.721786330671 11:30:05
927.518603783968 832.37224375738 11:30:05
924.66741612438 825.498438229237 11:30:05
924.533827771955 823.752930983256 11:30:05
924.902675870508 821.19903380907 11:30:05
929.458603870164 818.890604080602 11:30:05
927.459383650814 819.538156753584 11:30:05
927.956626881418 816.639430599653 11:30:05
927.012250269906 817.03420242357 11:30:05
926.341974342786 820.513305879339 11:30:05
927.687812239663 821.972610913346 11:30:05
928.44386950499 821.876960026534 11:30:05
930.069483881372 819.198343368553 11:30:05
929.118047273252 820.602477925964 11:30:05
931.320784937873 811.318296233393 11:30:05
932.385031290155 806.329808527052 11:30:05
923.209814294377 796.464302471697 11:30:05
920.276616729635 792.553079687128 11:30:05
921.078146664103 793.851652457566 11:30:05
921.44510660892 789.207951834183 11:30:05
920.758046075712 788.743557342173 11:30:05
920.181430066071 791.24230805477 11:30:05
920.704755282726 791.26828671193 11:30:05
921.290706952847 783.218367004997 11:30:05
913.554125991308 580.340133260982 11:30:05
913.615114593485 571.846956380294 11:30:05
918.513619584129 570.586911231451 11:30:05
919.97787062075 563.87557625959 11:30:05
919.553842827109 564.292874787625 11:30:05
923.332532889744 568.72728292215 11:30:05
923.52357947962 564.820871774336 11:30:05
924.714894014847 564.031945246654 11:30:05
929.470197270269 563.124398255061 11:30:05
928.655238783096 563.609310676395 11:30:05
927.721911630106 564.903483467235 11:30:05
927.870612862757 566.000077327306 11:30:05
926.47463703885 568.55820811329 11:30:05
924.071200693829 569.199700312491 11:30:05
923.009728934123 568.707115266001 11:30:05
923.745380520664 568.880874809814 11:30:05
922.649581565293 567.901724111774 11:30:05
921.262638557263 565.169314617261 11:30:05
921.108627638752 565.184220973237 11:30:05
922.989997271043 565.250498210202 11:30:05
922.630951305148 564.040312422399 11:30:05
921.31365859125 563.070741070026 11:30:05
918.681926612736 563.992655633195 11:30:05
1070.09897631268 621.757878215873 11:30:05
920.2236264251 612.995375328972 11:30:05
915.476193754901 625.539264847097 11:30:05
924.902154468404 595.774043130574 11:30:05
929.370560867962 587.88662080455 11:30:05
930.742542511935 591.439974542932 11:30:05
