18/01/2020 10:58:47
1286.7126732943 1002.94805143497 10:58:47
1287.54342443599 1003.16957712176 10:58:47
1288.87848278837 1004.71019553313 10:58:47
1290.06456233467 1003.79209246758 10:58:47
1291.50845899684 1004.16014101505 10:58:47
1292.66681728897 1004.39851214678 10:58:47
1293.59324670069 1005.57542387075 10:58:47
1295.66569215582 1005.32836954205 10:58:47
1295.34184382241 1005.13520055945 10:58:47
1295.2491697598 1004.83299237172 10:58:47
1295.06660335941 1005.82078066996 10:58:47
1295.62151714241 1004.53443767852 10:58:47
1296.84924844746 1006.42453862374 10:58:47
1314.18290397103 1012.31856403875 10:58:47
1415.17651706031 1017.40335287745 10:58:47
1432.50649605493 1018.11977011423 10:58:47
1441.76606406197 1018.17670912462 10:58:47
1453.00250273179 1016.82726681128 10:58:47
1458.53407935205 1015.41459202953 10:58:47
1465.954849288 1013.13581962066 10:58:47
1504.77354249779 1010.51377755408 10:58:47
1503.75324244089 1011.35038555399 10:58:47
1511.23581836295 1004.06578851045 10:58:47
1511.70750369872 1003.66873400194 10:58:47
1515.64389053614 1004.08985269134 10:58:47
1516.73134786047 1003.68916813852 10:58:47
1517.00472979776 1003.31205241215 10:58:47
1519.37458293733 1001.8135242118 10:58:47
1518.96975168285 1000.41318197941 10:58:47
1519.64223739551 1000.85062620927 10:58:47
1519.59836041748 1002.27698629944 10:58:47
1520.01041625548 1003.80474174408 10:58:47
1520.24222382964 1003.11276161878 10:58:47
1521.09048032912 1004.11904896089 10:58:47
1521.15007199226 1001.44058608361 10:58:47
1520.82343323045 1001.58723500643 10:58:47
1521.20813946583 1001.42713052976 10:58:47
1523.24281081838 1003.48920326251 10:58:47
1523.67585537584 1003.96529557223 10:58:47
1523.50879220782 1001.49611916168 10:58:47
1523.90141404615 1001.33614233048 10:58:48
1523.82231562935 1000.24840031503 10:58:48
1524.75436309209 1002.09659589372 10:58:48
1527.30016657482 1004.75872228292 10:58:48
1527.79565048263 1005.28947962242 10:58:48
1530.73253258142 1009.05101616952 10:58:48
1529.85726426132 1010.27798957234 10:58:48
1529.96568770631 1010.30245301715 10:58:48
1530.21256277715 1009.56765084419 10:58:48
1531.12807307484 1009.93520002654 10:58:48
1531.57763611655 1009.82018904485 10:58:48
1532.49418298069 1007.3206622142 10:58:48
1532.24908606157 1007.2877347211 10:58:48
1532.46150387393 1007.08460437915 10:58:48
1532.18994898284 1006.05117277222 10:58:48
1532.42091858841 1005.7761462139 10:58:48
1530.53643070637 1006.72679231319 10:58:48
1530.33376125333 1006.56537334705 10:58:48
