20/01/2020 18:50:29
755.030805557166 608.464388380447 18:50:30
754.952488091822 608.719524370264 18:50:30
754.996268589849 608.686464577534 18:50:30
754.573643747847 608.931187975161 18:50:30
753.625305576711 607.726528872685 18:50:30
753.466997252966 607.520423955612 18:50:30
753.26442226718 608.055269664672 18:50:30
754.147875820841 608.56593988741 18:50:30
753.476489556782 607.741018213725 18:50:30
753.388324525497 607.593386965736 18:50:30
751.520225417914 607.568402470579 18:50:30
751.798308129148 607.479918203401 18:50:30
752.007737951135 608.008046091962 18:50:30
752.56536462142 607.531358444166 18:50:30
754.419605170365 607.610097134653 18:50:30
757.570659836957 603.335186313494 18:50:30
765.182154263601 593.398017253474 18:50:30
784.538834563558 573.345246887743 18:50:30
813.263070331968 541.747399634825 18:50:30
825.020074567454 518.752495667581 18:50:30
827.7529185775 503.888284649407 18:50:30
825.947973272881 498.573047774576 18:50:30
810.8658923982 480.469891099564 18:50:30
810.228817759374 474.656323332186 18:50:30
811.888201545941 465.221171491948 18:50:30
820.950195891472 460.022911255462 18:50:30
821.039058799695 458.590235824179 18:50:30
800.267716449039 456.818341531076 18:50:30
794.395593971204 456.855790362954 18:50:30
791.997398570522 455.734549858431 18:50:30
792.047346331752 455.233303569882 18:50:30
793.03786955308 454.551459427717 18:50:30
793.481880315962 455.206893879793 18:50:30
793.671525941734 455.14296924434 18:50:30
793.608691643001 455.810052730717 18:50:30
792.946497123523 455.979937211587 18:50:30
792.410667486931 457.90753060592 18:50:30
791.614821391431 458.420616504515 18:50:30
791.192783291139 459.005861794364 18:50:30
791.104324712299 458.948150887542 18:50:30
790.475751633838 459.974049544086 18:50:30
789.517514917157 460.85496916262 18:50:30
788.424896992991 461.447700987998 18:50:30
787.331692967499 461.380531633315 18:50:30
783.151132758264 460.234462204846 18:50:30
781.1209690542 461.295793061827 18:50:30
753.215367269874 451.586120250622 18:50:30
611.519829693182 421.605817705271 18:50:30
594.664422266418 419.223790189959 18:50:30
589.426460939118 418.643314743649 18:50:30
582.129303316088 417.928413332343 18:50:30
559.750813186917 414.152103392532 18:50:30
539.434852616923 410.885848450618 18:50:30
438.132276667932 392.128975065533 18:50:30
432.150406332922 393.308691223734 18:50:30
425.560218995939 393.771293008974 18:50:30
426.888280849123 394.636138115255 18:50:30
425.642485233829 395.031036613046 18:50:30
424.409604498461 393.355123425503 18:50:30
424.686131349512 392.420695663093 18:50:30
423.87253791062 391.557892087649 18:50:30
423.34127082986 393.487007858085 18:50:30
423.129316577969 393.379687640982 18:50:30
423.088963358351 392.289422710703 18:50:30
423.509620862633 393.587382209643 18:50:30
422.714133809015 392.63061875324 18:50:30
434.558988297598 399.144771524635 18:50:30
437.245572290616 400.624475762511 18:50:30
457.574376912894 411.675525396177 18:50:30
598.990317795606 488.790307093032 18:50:30
820.003633325688 614.688279137456 18:50:30
1134.80291043209 851.402317510482 18:50:30
1151.65765650839 868.955525925241 18:50:30
1158.15966168445 876.057796522229 18:50:30
1185.09569818976 899.581943664407 18:50:30
1227.18753920775 937.080761345202 18:50:30
1264.40081218239 972.953514048951 18:50:30
1286.34749919205 999.766018451276 18:50:30
1296.74136961768 1023.23612779088 18:50:30
1300.98002542609 1035.10486274555 18:50:30
1301.90828649759 1042.4480579268 18:50:30
1303.20060274838 1044.49157317856 18:50:30
1305.93830499682 1042.45435815053 18:50:30
1306.42346226864 1039.32685840323 18:50:30
1306.66162583921 1039.02204556816 18:50:30
1308.16811090247 1040.71400047665 18:50:30
1308.49523813331 1041.41074939223 18:50:30
1310.02679456319 1041.42237384438 18:50:30
1309.96222228836 1041.57821560312 18:50:30
1311.53320399318 1041.79740591962 18:50:30
1311.4659838981 1041.98933177672 18:50:30
1311.85965030445 1043.7826060487 18:50:30
1311.050238629 1045.4956490702 18:50:30
1311.82042369557 1045.23756856558 18:50:30
1311.71457636328 1045.55254305243 18:50:30
1311.57514071665 1045.37507975206 18:50:30
1311.35670648046 1045.56988584964 18:50:30
1312.81896391758 1046.6416369228 18:50:30
1312.19487934006 1046.54645234576 18:50:30
1313.63681457042 1044.56260682218 18:50:30
1313.5008061914 1045.12300540696 18:50:30
1346.63565325356 1046.38876063025 18:50:30
1473.46696941973 1042.91146525582 18:50:30
1479.39002466265 1042.90530666851 18:50:30
1485.09547096502 1043.00278675751 18:50:30
1489.05955559215 1043.1539839197 18:50:31
1494.41037085609 1043.2193135813 18:50:31
1498.39287643938 1043.56905943715 18:50:31
1501.64965243367 1046.06069810854 18:50:31
1504.24951372497 1048.44606065113 18:50:31
1503.67975452207 1048.16658801652 18:50:31
1502.29683390972 1046.56693180461 18:50:31
1501.00167685973 1045.19851076477 18:50:31
1501.71196836567 1044.44016574726 18:50:31
1501.77292067025 1044.74590101177 18:50:31
1500.82588474461 1045.77179187943 18:50:31
1499.56144962632 1046.74193243388 18:50:31
1499.78708197078 1046.84633192597 18:50:31
1498.43302927896 1046.99192695634 18:50:31
1500.4007679909 1047.44464053241 18:50:31
1518.20319859516 1049.64409183584 18:50:31
1599.6293525612 1055.87309729906 18:50:31
1603.03472865082 1056.37604050484 18:50:31
1605.0408383857 1057.28873576008 18:50:31
1607.92841314294 1057.84575890096 18:50:31
1609.91234592443 1058.19856128448 18:50:31
1611.23596232982 1058.00239402332 18:50:31
1611.00423668791 1058.00361922748 18:50:31
1610.28158170475 1058.0766392185 18:50:31
1610.00361583799 1059.32024592507 18:50:31
1610.85684172285 1060.96900367678 18:50:31
1612.13117498392 1061.65185823736 18:50:31
1612.00002875629 1061.58684432611 18:50:31
1611.78151675567 1062.70407189438 18:50:31
1608.94660330045 1064.69468911615 18:50:31
1608.92362012924 1064.00873140622 18:50:31
1606.92238290047 1063.42389388452 18:50:31
1606.60795647393 1063.0260420042 18:50:31
1607.24397379742 1061.49585921098 18:50:31
1606.4673301307 1061.5780246554 18:50:31
1604.8754934445 1061.47038749479 18:50:31
1588.31121110691 1057.03893753501 18:50:31
1586.81888045705 1056.41580079881 18:50:31
1585.75021034961 1055.96506502109 18:50:31
1585.42002521819 1055.44042406841 18:50:31
1585.2720327388 1055.28721821058 18:50:31
1582.60180227462 1055.95602772353 18:50:31
1580.08969642154 1056.13695451239 18:50:31
1579.78383979001 1055.83894462892 18:50:31
1581.01238272386 1056.60126615775 18:50:31
1581.0925647442 1056.47105311092 18:50:31
1581.15923091249 1056.47608432233 18:50:31
1581.95251590717 1055.58303693904 18:50:31
1582.0021490025 1055.76716265763 18:50:31
1582.0447793869 1055.70565344821 18:50:31
1582.56215193242 1056.00826971055 18:50:31
1582.8266337388 1055.96612360223 18:50:31
1582.9602298432 1056.08188096838 18:50:31
1583.20623771798 1055.82190521413 18:50:31
1583.22045598303 1056.43021540497 18:50:31
1584.22334245252 1055.77192757445 18:50:31
1616.08027090637 1052.69264428455 18:50:31
1618.98931642577 1054.05613649893 18:50:31
1619.47501039707 1055.2057223357 18:50:31
1619.81505673609 1056.37797886881 18:50:31
1620.14546508596 1056.73189691336 18:50:31
1620.14124961597 1056.74274777196 18:50:31
1620.14905791742 1056.91389127851 18:50:31
1619.0276665273 1056.140880196 18:50:31
1618.88719264026 1057.2386302976 18:50:31
1619.84233071291 1057.60944157038 18:50:31
1620.34240353494 1058.04463257841 18:50:31
1620.68603870335 1057.5832075203 18:50:31
1620.6316541221 1057.15128916098 18:50:31
1621.86770803869 1055.60319166666 18:50:31
1621.83002041292 1055.85715473666 18:50:31
1623.02907769587 1056.56816849129 18:50:31
1622.57180401532 1057.70099310841 18:50:31
1621.73881604924 1058.85913932939 18:50:31
1621.21735016162 1059.44789189745 18:50:31
1621.64009792376 1057.90648406204 18:50:31
1621.74779152855 1058.27285801382 18:50:31
1613.83877565172 1051.58918388493 18:50:31
1548.63447737084 994.903611977372 18:50:31
1404.34331463271 869.975995933462 18:50:31
1115.46366134521 641.479678438748 18:50:31
1056.17100025116 602.877708406705 18:50:31
1052.40045974256 602.328588453056 18:50:31
1045.60858519668 598.049467607912 18:50:31
1029.2358427922 586.328843686329 18:50:31
984.72506565874 560.093055807112 18:50:31
945.717384911692 537.383601721028 18:50:32
928.697648938226 528.332712375434 18:50:32
917.133665083089 521.932724556629 18:50:32
915.410614937808 520.946365097035 18:50:32
915.798240945505 520.912042266962 18:50:32
915.561680763207 521.391941018885 18:50:32
916.169894490218 519.263992376815 18:50:32
916.652430574054 518.517086514031 18:50:32
917.159468434045 517.26194788465 18:50:32
917.052672513843 517.458623029878 18:50:32
917.199927628072 514.536613098129 18:50:32
917.471773424935 514.032103474933 18:50:32
916.289944807219 510.963874395167 18:50:32
915.704484296112 509.204765083068 18:50:32
916.040406558157 510.015137928943 18:50:32
915.817800215227 509.047257606622 18:50:32
915.513107805027 511.630540019939 18:50:32
914.780736159855 512.928252269518 18:50:32
914.060306402883 513.144692691269 18:50:32
913.970430197211 515.00297948491 18:50:32
915.304201891646 516.615855356212 18:50:32
915.880521649956 516.972986478437 18:50:32
915.329747398294 514.232607985235 18:50:32
915.025801228509 512.964379468938 18:50:32
914.286128710811 511.074377446356 18:50:32
914.899777672942 512.241031554437 18:50:32
915.533051167821 504.878504017752 18:50:32
921.413536940626 465.978485555979 18:50:32
926.120013573327 428.35545046853 18:50:32
927.092122257041 416.351877757626 18:50:32
927.655439633944 412.81616620837 18:50:32
928.786806115265 407.603495126666 18:50:32
930.394443678936 403.018081892792 18:50:32
930.886881924968 400.382892869822 18:50:32
934.474324811785 378.639359296771 18:50:32
933.066060620925 377.645788712854 18:50:32
935.094232542316 376.430383022105 18:50:32
933.696494797269 377.763389745494 18:50:32
932.830748244951 378.695942597635 18:50:32
932.086607378458 378.897082166082 18:50:32
931.785080909557 380.052414380586 18:50:32
931.004549893883 380.765173831796 18:50:32
930.183858222785 381.567604298317 18:50:32
930.602308651002 380.622295856224 18:50:32
930.216732576049 380.427755004193 18:50:32
929.073705377241 380.057091239794 18:50:32
928.953652677915 379.432122321966 18:50:32
928.400207559776 377.781896292644 18:50:32
928.283668326882 377.267611249723 18:50:32
928.315574151041 375.436205019457 18:50:32
929.667716414701 370.968957580428 18:50:32
930.601269523 366.972909465952 18:50:32
930.194781012771 368.27471219384 18:50:32
929.878101305227 368.898595355762 18:50:32
930.684026669252 366.43724671504 18:50:32
932.119993113959 366.615929046147 18:50:32
933.357649913417 367.474884422763 18:50:32
933.954658674023 367.759224364197 18:50:32
933.925771169542 367.537500485169 18:50:32
932.764960969684 370.23617336596 18:50:32
932.385045970135 371.839732966469 18:50:32
932.224361598847 371.597979505497 18:50:32
930.462778819086 369.841344854375 18:50:32
929.988601975548 368.351540431838 18:50:32
929.630774165305 368.213756537268 18:50:32
929.13854346815 368.447212931184 18:50:32
929.188455849032 369.716256598374 18:50:32
929.446968197436 370.699382177723 18:50:32
929.652764295111 369.860737626482 18:50:32
931.46283716275 369.738452652724 18:50:32
932.42394061681 370.187341389957 18:50:32
932.048254670531 370.186345684831 18:50:32
933.120892273562 369.60141589303 18:50:32
934.02583969378 368.860926445937 18:50:32
935.851094785407 368.02476169925 18:50:32
935.997414378104 366.450059465568 18:50:32
936.051138712145 365.325017164462 18:50:32
936.042519075779 365.36607156175 18:50:32
935.547013311325 364.137800798915 18:50:32
934.904703902651 364.25004799338 18:50:32
934.687064772136 364.050527025975 18:50:32
932.413743795987 362.243791080469 18:50:32
932.349848511813 362.250970787787 18:50:32
933.370026481568 363.782011936384 18:50:32
936.247806441491 366.225477606253 18:50:33
935.889221156602 366.162152458604 18:50:33
935.717299829271 365.809707627568 18:50:33
936.726506950474 366.155924555091 18:50:33
938.572168986955 365.241029920834 18:50:33
938.589177383046 365.291902320239 18:50:33
939.260968286201 365.23998259225 18:50:33
939.456860459075 365.131177076086 18:50:33
939.782583327334 365.996470687967 18:50:33
939.860025437269 365.399304704266 18:50:33
940.019947216316 366.695869387266 18:50:33
941.764761263532 368.902932309485 18:50:33
941.477878834005 368.688834728509 18:50:33
941.56803410497 368.785921325237 18:50:33
941.010588810886 368.33279081369 18:50:33
940.907916795192 368.18626604015 18:50:33
941.537285935369 367.568557439834 18:50:33
942.928175962329 365.36640402254 18:50:33
942.174958351692 365.882690945925 18:50:33
941.816538271832 363.27448322412 18:50:33
941.36967865274 361.21001971206 18:50:33
941.57651885354 360.609829952903 18:50:33
941.299252600271 358.132924642768 18:50:33
942.029682311689 358.495281167145 18:50:33
